geo,year,theft,poverty,neet,education,unemployment,income,inequity
Estonia,2019,513.58,3.1398233999999996,1.2850753999999998,5.378769200000001,0.4239424,49.19490517334071,5.08
Greece,2019,800.26,31.1013371,18.76804825,45.47229976,11.475320929999999,44.786682185090854,5.11
Spain,2019,374.65,122.97509720000001,69.9362194,218.25732900000003,42.7127246,54.0641379851083,5.94
Finland,2019,2224.23,8.000982549999998,5.02130629,23.1752598,2.48306355,62.998553598585744,3.69
France,2019,2194.61,126.50608548000001,83.44018404,324.34007022000003,35.66394963,61.32769420904033,4.27
Croatia,2019,291.0,8.478591680000001,5.7882693199999995,14.470673299999998,1.54897348,42.92168846411746,4.76
Hungary,2019,582.92,19.545512000000002,10.7500316,29.904633360000002,2.05227876,40.1700202171114,4.23
Ireland,2019,1333.62,9.990728639999999,5.58305424,27.131684639999996,1.61614728,63.78556623966366,4.03
Italy,2019,1541.83,147.14901558000003,133.39118079,165.69218421,34.09550361,56.46043096097768,6.01
Lithuania,2019,390.17,7.1251692,3.04566056,15.423895680000003,1.22944096,43.67128933300444,6.44
Luxembourg,2019,1616.73,1.2339269400000001,0.3990311,3.4439453400000004,0.22714078000000001,71.51421216508204,5.34
Latvia,2019,682.88,5.12631456,1.9583673599999998,8.40945984,0.8447859200000001,44.18041506404166,6.54
Malta,2019,1343.51,1.02166713,0.38991161,2.01372072,0.11845416000000002,54.338410834253565,4.18
Netherlands,2019,1353.19,28.51556895,10.88776269,84.85542033,5.703113790000001,62.671841179871095,3.94
Poland,2019,270.15,67.97133348,45.56737439999999,165.1817322,7.5945624,42.59991351602586,4.37
Portugal,2019,799.1,21.683661870000005,9.45448764,38.43454758,4.5217114800000004,47.56991433774056,5.16
Romania,2019,494.19,70.08619338,40.57621722,49.5068679,5.24190366,35.28456084318847,7.08
Sweden,2019,3216.5,18.8235404,6.03580915,49.5140954,5.217394349999999,63.004004990474726,4.33
Slovenia,2019,862.41,2.8508439599999993,1.560681,9.176804279999999,0.6034633199999999,52.706205364018324,3.39
Slovakia,2019,222.35,8.066623080000001,7.467076769999999,21.36565032,2.07115998,44.779933832064714,3.34
Austria,2020,951.95,14.864776879999999,8.81205336,36.85040496,3.6494362399999996,64.82732035855318,4.11
Belgium,2020,1357.7,23.390553200000003,13.0203572,55.88383399999999,3.9176296,63.603282181766765,3.65
Bulgaria,2020,388.92,23.2874647,12.651697239999999,22.939890600000002,2.64156316,37.23406347507517,8.01
Cyprus,2020,57.77,1.5628888,1.3586476499999998,5.1326689,0.4617626,55.805893190610476,4.31
Czechia,2020,426.77,12.29802985,11.7633329,35.2899987,1.8179696300000001,48.37791978301944,3.34
Germany,2020,1120.39,169.66009044,79.84004256,293.57848982999997,20.79167775,63.9749381874298,4.87
Denmark,2020,2439.43,9.78224184,5.93921826,27.425213730000003,2.27087757,66.99224709355131,4.0
Estonia,2020,516.41,3.03006528,1.47516336,5.329193760000001,0.6644880000000001,50.322423283053034,5.03
Greece,2020,568.61,29.368868099999997,19.82934525,46.84012905,10.718565,45.73072476859174,5.23
Spain,2020,220.82,127.79805780000001,81.88542222000001,224.35659035999998,46.85928786,55.2838954550376,5.77
Finland,2020,2440.25,8.23268508,5.41478616,24.200778959999997,2.8178989199999998,63.484153472192034,3.72
France,2020,1744.79,130.24707483,90.43061154000002,333.37852313999997,33.742765500000004,61.09980302561746,4.42
