freq,iccs,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,ICCS020221,P_HTHAB,BG	1.02 	1.19 	1.31 	1.03 	0.98 	1.44 	0.89 	1.03 	1.17 	1.00 
A,ICCS020221,P_HTHAB,CH	0.06 	0.04 	0.01 	0.05 	0.04 	0.04 	0.09 	0.06 	0.07 	0.06 
A,ICCS020221,P_HTHAB,CY	0.58 	0.46 	0.93 	0.00 	0.12 	1.05 	0.46 	0.91 	0.23 	0.33 
A,ICCS020221,P_HTHAB,CZ	0.16 	0.19 	0.14 	0.11 	0.17 	0.16 	0.12 	0.11 	0.10 	0.08 
A,ICCS020221,P_HTHAB,DE	6.45 	6.12 	6.18 	5.87 	5.79 	5.60 	5.51 	5.44 	5.49 	6.09 
A,ICCS020221,P_HTHAB,EE	0.00 	0.08 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,ICCS020221,P_HTHAB,EL	1.25 	0.86 	0.53 	0.82 	0.57 	0.72 	0.69 	0.67 	0.68 	0.58 
A,ICCS020221,P_HTHAB,ES	0.25 	0.26 	0.21 	0.20 	0.20 	0.15 	0.17 	0.19 	0.16 	0.20 
A,ICCS020221,P_HTHAB,FI	0.02 	0.02 	0.02 	0.02 	0.05 	0.04 	0.07 	0.02 	0.05 	0.04 
A,ICCS020221,P_HTHAB,FR	3.24 	3.45 	4.48 	5.74 	5.72 	: 	: 	: 	: 	: 
A,ICCS020221,P_HTHAB,HR	0.14 	0.02 	0.02 	0.00 	0.02 	0.00 	0.00 	0.02 	0.02 	0.07 
A,ICCS020221,P_HTHAB,HU	0.09 	0.07 	0.03 	0.11 	0.05 	0.03 	0.03 	0.05 	0.11 	0.04 
A,ICCS020221,P_HTHAB,IE	1.41 	1.74 	1.30 	1.97 	1.57 	1.65 	1.76 	1.77 	2.14 	2.00 
A,ICCS020221,P_HTHAB,IT	0.57 	0.54 	0.49 	0.47 	0.32 	0.33 	0.31 	0.21 	0.20 	0.20 
A,ICCS020221,P_HTHAB,LI	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	0.00 	0.00 	0.00 
A,ICCS020221,P_HTHAB,LT	2.16 	1.55 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.04 	0.04 
A,ICCS020221,P_HTHAB,LU	10.86 	8.94 	9.46 	9.41 	8.68 	7.79 	5.98 	7.17 	6.71 	5.83 
A,ICCS020221,P_HTHAB,LV	0.05 	0.89 	0.85 	0.86 	0.41 	0.21 	0.52 	0.68 	0.63 	0.32 
A,ICCS020221,P_HTHAB,ME	0.00 	0.16 	0.00 	0.00 	0.32 	0.00 	0.00 	0.32 	: 	0.32 
A,ICCS020221,P_HTHAB,MK	0.92 	0.87 	0.39 	0.53 	0.48 	0.34 	: 	: 	: 	: 
A,ICCS020221,P_HTHAB,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,ICCS020221,P_HTHAB,NL	3.59 	3.13 	2.47 	2.57 	2.47 	2.34 	2.47 	2.95 	2.99 	2.60 
A,ICCS020221,P_HTHAB,PL	0.83 	1.17 	0.77 	0.65 	: 	: 	: 	: 	: 	: 
A,ICCS020221,P_HTHAB,PT	3.97 	4.12 	3.61 	3.56 	2.86 	2.83 	2.65 	3.29 	2.47 	2.22 
A,ICCS020221,P_HTHAB,RO	1.95 	1.55 	1.45 	1.48 	1.75 	1.58 	1.56 	2.01 	1.70 	1.97 
