freq,age,sex,unit,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,Y_LT15,M,P_HTHAB,DE	1.46 	0.69 	0.70 	0.52 	0.63 	0.71 
A,Y_LT15,M,P_HTHAB,DK	0.87 	1.42 	0.61 	0.00 	0.20 	0.21 
A,Y_LT15,M,P_HTHAB,EE	: 	: 	: 	: 	0.00 	0.89 
A,Y_LT15,M,P_HTHAB,ES	0.49 	0.28 	0.22 	0.25 	0.28 	0.17 
A,Y_LT15,M,P_HTHAB,FI	0.00 	0.00 	0.22 	0.44 	: 	: 
A,Y_LT15,M,P_HTHAB,FR	0.56 	0.43 	0.43 	0.58 	0.42 	0.41 
A,Y_LT15,M,P_HTHAB,HR	0.00 	0.64 	0.33 	0.66 	0.00 	0.68 
A,Y_LT15,M,P_HTHAB,HU	0.41 	1.37 	0.68 	0.27 	0.27 	0.69 
A,Y_LT15,M,P_HTHAB,IE	1.17 	0.19 	0.00 	0.19 	0.78 	0.20 
A,Y_LT15,M,P_HTHAB,IT	0.17 	0.17 	0.22 	0.22 	0.15 	0.25 
A,Y_LT15,M,P_HTHAB,LT	2.01 	0.46 	0.46 	0.00 	0.00 	0.00 
A,Y_LT15,M,P_HTHAB,LV	0.00 	1.28 	1.91 	1.27 	1.27 	0.64 
A,Y_LT15,M,P_HTHAB,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,Y_LT15,M,P_HTHAB,NL	0.44 	0.28 	0.21 	0.21 	0.29 	0.36 
A,Y_LT15,M,P_HTHAB,PL	0.27 	0.24 	0.40 	0.47 	0.27 	0.17 
A,Y_LT15,M,P_HTHAB,SI	0.00 	0.00 	0.00 	0.00 	0.00 	: 
